Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,mmu-miR-379,1/1352,0.6501598981864749,0.7941220494982242,0,0,0.9851961509992598,0.4241633451506137,CREBRF
TargetScan_microRNA_2017,mmu-miR-496,1/1356,0.6512842388268075,0.7941220494982242,0,0,0.9820769636267792,0.4211235519477075,CREBRF
TargetScan_microRNA_2017,mmu-miR-1948,1/1382,0.6585106474106531,0.7941220494982242,0,0,0.9622426812868522,0.4020005404436344,RND1
TargetScan_microRNA_2017,mmu-miR-219-3p,1/1383,0.6587857747740123,0.7941220494982242,0,0,0.9614947281372752,0.4012864336642341,SIRT4
TargetScan_microRNA_2017,mmu-miR-192,1/1410,0.6661364792114793,0.7941220494982242,0,0,0.9417013079184832,0.3825762379086694,INHBE
TargetScan_microRNA_2017,mmu-miR-215,1/1410,0.6661364792114793,0.7941220494982242,0,0,0.9417013079184832,0.3825762379086694,INHBE
TargetScan_microRNA_2017,mmu-miR-500,1/1417,0.6680179439241787,0.7941220494982242,0,0,0.9366928974979822,0.3778996107864981,INHBE
TargetScan_microRNA_2017,hsa-miR-1234,1/1417,0.6680179439241787,0.7941220494982242,0,0,0.9366928974979822,0.3778996107864981,CREBRF
TargetScan_microRNA_2017,mmu-miR-501-3p,1/1417,0.6680179439241787,0.7941220494982242,0,0,0.9366928974979822,0.3778996107864981,INHBE
TargetScan_microRNA_2017,mmu-miR-208a-3p,1/1419,0.6685536847801474,0.7941220494982242,0,0,0.935271005440258,0.3765761889252725,LPXN
TargetScan_microRNA_2017,mmu-miR-208b,1/1419,0.6685536847801474,0.7941220494982242,0,0,0.935271005440258,0.3765761889252725,LPXN
TargetScan_microRNA_2017,mmu-miR-3965,1/1420,0.6688212525522542,0.7941220494982242,0,0,0.9345615624685392,0.37591658550868,CREBRF
TargetScan_microRNA_2017,mmu-miR-3096-3p,1/1421,0.6690886186676157,0.7941220494982242,0,0,0.9338531187122736,0.375258382280899,RND1
TargetScan_microRNA_2017,mmu-miR-669f-5p,1/1434,0.6725460958010988,0.7941220494982242,0,0,0.9247333266872696,0.3668274937662394,DUSP1
TargetScan_microRNA_2017,mmu-miR-669p,1/1434,0.6725460958010988,0.7941220494982242,0,0,0.9247333266872696,0.3668274937662394,DUSP1
TargetScan_microRNA_2017,mmu-miR-669l,1/1434,0.6725460958010988,0.7941220494982242,0,0,0.9247333266872696,0.3668274937662394,DUSP1
TargetScan_microRNA_2017,mmu-miR-669a-5p,1/1434,0.6725460958010988,0.7941220494982242,0,0,0.9247333266872696,0.3668274937662394,DUSP1
