Gene_set,Term,Overlap,P.value,Adj. P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_padj,gene_set_lib,query_label,library
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,CCL4,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Peptide Transport (GO:0015833),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,TAP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Pyruvate Dehydrogenase Activity (GO:1904182),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT4,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Striated Muscle Cell Differentiation (GO:0051153),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,HDAC9,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Cellular Response To Histamine (GO:0071420),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,GABRG2,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,rDNA Heterochromatin Formation (GO:0000183),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Bile Acid Metabolic Process (GO:1904251),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Blood-Brain Barrier Permeability (GO:1905603),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,OCLN,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902237),1/6,0.0190492685407353,0.1243135285330652,0,0,63.27301587301587,250.60711544601853,PMAIP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Myeloid Leukocyte Differentiation (GO:0002573),2/71,0.0217409578865277,0.1243135285330652,0,0,9.287985039738196,35.55958327208263,IL15;SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Gluconeogenesis (GO:0045722),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Fatty Acid Oxidation (GO:0046322),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT4,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Stress-Induced Premature Senescence (GO:0090400),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Regulation Of Endodeoxyribonuclease Activity (GO:0032071),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Macrophage Migration (GO:1905522),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,CD200R1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Mitochondrial Membrane Potential (GO:0010917),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,PMAIP1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Glucocorticoid Metabolic Process (GO:0008211),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,CYP11A1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Negative Regulation Of Peptidyl-Lysine Acetylation (GO:2000757),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Neuron Fate Specification (GO:0048665),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,ISL2,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
GO_Biological_Process_2023,Nucleolar Chromatin Organization (GO:1990700),1/7,0.0221892399395956,0.1243135285330652,0,0,52.72486772486773,200.7840887685652,SIRT1,0.9054816062935864,GO_BP,ZIKV_up,GO_BP
