symbol,log2FoldChange,pvalue,mean_zikv,mean_mock,padj
RP11-473I1.9,-0.4887070127592841,6.720360272540534e-05,2.7816388799965246,3.2703458927558087,0.005855157868866336
TDP2,-1.459474139085588,6.784562201854264e-05,3.309075392546783,4.768549531632371,0.005878682899707773
CHD2,-0.8075006026134446,6.818014540253592e-05,2.771471816887151,3.5789724195005954,0.005878682899707773
RP11-107E5.3,-1.258687293052163,6.920749246676202e-05,3.266952248230769,4.525639541282932,0.005936504547110241
METTL3,-0.8346847071144361,7.00733035521242e-05,2.215371282651612,3.050055989766048,0.005967646315194874
AEN,1.566176172596668,7.028776382297911e-05,3.5974487949249516,2.0312726223282835,0.005967646315194874
ZC3H12C,0.8215243023793084,7.118294813497286e-05,4.669151986554484,3.8476276841751753,0.0060094034237614695
NFKB2,0.7375898828217311,7.150182548553398e-05,5.338526947439252,4.600937064617521,0.0060094034237614695
NLRC4,-1.498228587511501,7.258116764908907e-05,1.2427641992377065,2.7409927867492074,0.006069463371097946
DEPDC5,-0.5154366390573901,7.35762535457677e-05,1.6912844886195006,2.2067211276768908,0.0061048522808367575
SLC35B3,0.4978964058603417,7.373807514261092e-05,2.629659668697795,2.1317632628374534,0.0061048522808367575
RP11-861A13.3,1.226017000677858,7.416322219639357e-05,1.8151049906865542,0.5890879900086963,0.0061096543592583435
HIST1H1T,0.930621745615037,7.466857793000363e-05,0.930621745615037,0.0,0.006112149762364117
CYLD,0.7893364866438422,7.520971222340478e-05,4.498271347548512,3.7089348609046695,0.006112149762364117
ZBTB37,-0.651409082454752,7.529539698844084e-05,1.0725869369638696,1.7239960194186217,0.006112149762364117
CDK19,0.434310580579623,7.578269120546874e-05,2.729508132786505,2.295197552206882,0.006121843516263133
LATS2,1.0562997941646253,7.66207256520168e-05,3.09950070074598,2.0432009065813546,0.006145271436078874
ALDH7A1,-0.3539470710659254,7.681127688867291e-05,0.3173455912234603,0.6712926622893857,0.006145271436078874
RP11-347C18.3,0.8252100068749423,7.786132335298954e-05,0.9831913187037769,0.15798131182883454,0.006199475033096168
TTC28-AS1,0.5898702353225864,7.84355374034643e-05,0.962844681347858,0.3729744460252716,0.006215239656425731
ZNF573,-1.0631687139253825,7.915997774903712e-05,0.44510455170128826,1.5082732656266709,0.006215239656425731
CEP85,-0.6972932795518525,7.91797852990959e-05,1.3976004933043291,2.0948937728561816,0.006215239656425731
CEP128,-0.5283838046879398,7.96412885820909e-05,0.6572825481859429,1.1856663528738827,0.0062194942770899065
C10orf55,0.46770576460891955,8.041552636368534e-05,0.7812618371427779,0.3135560725338583,0.0062194942770899065
TRIB1,-1.245619335114553,8.083499286776488e-05,2.0400422340269087,3.2856615691414617,0.0062194942770899065
