symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
ZNF467,zinc finger protein 467,3.171222451266072,41.24058336581394,3.82099980095287,0.0001329117594696,0.0160168163858014,False,False,False
PBXIP1,PBX homeobox interacting protein 1,-1.0617811921350884,231.0170977412812,-3.810717625592662,0.0001385639696499,0.0165795229217282,False,False,False
NTF3,neurotrophin 3,-6.211755627859334,14.91987782260918,-3.790120764665778,0.0001505740603481,0.0176412150842626,False,False,False
MIR194-2HG,MIR194-2 host gene,-2.092885888358231,54.30242053851381,-3.774317465604234,0.0001604463358752,0.0182897981929111,False,False,False
TRAPPC6B,trafficking protein particle complex subunit 6B,1.050400547829817,534.5895183552236,3.76476048409816,0.0001667088022049,0.0187502946799965,False,False,False
RAPGEF3,Rap guanine nucleotide exchange factor 3,5.383998973422204,14.589481262389342,3.760940092633848,0.0001692759710564,0.0189129464085644,False,False,False
BIRC3,baculoviral IAP repeat containing 3,3.4411118522478983,56.27534132437541,3.749485009733077,0.0001771980879767,0.0196678219885243,False,True,False
PLEKHF2,pleckstrin homology and FYVE domain containing 2,1.123641946749783,519.9184469970621,3.741207542058522,0.0001831382050346,0.0200631471242805,False,False,False
MACC1-OT1,MACC1 3' UTR overlapping transcript 1,-3.326105834888564,19.124363061694883,-3.735811727935886,0.0001871106271498,0.0202320324092148,False,False,False
ZNF610,zinc finger protein 610,1.2303269198099709,262.28560403258905,3.734978973882834,0.0001877308714487,0.0202320324092148,False,False,False
CFAP251,cilia and flagella associated protein 251,1.4047345557407207,171.62781011755737,3.723863134013304,0.0001961973171884,0.0205036781617227,False,False,False
MINDY1,MINDY lysine 48 deubiquitinase 1,1.1030831050152792,203.06201132651853,3.722984031266994,0.0001968819786734,0.0205036781617227,False,False,False
ZNF425,zinc finger protein 425,1.652767226119737,111.35421997419616,3.725371297709467,0.0001950279400351,0.0205036781617227,False,False,False
ZNF420,zinc finger protein 420,1.0597588318448266,480.20108806754223,3.716600356733998,0.0002019214572348,0.0208994902147809,False,False,False
RIBC2,RIB43A domain with coiled-coils 2,-1.2206741856375989,143.1948610983369,-3.696031544037525,0.0002189957751319,0.022191193151449,False,False,False
,,-3.1938260102629963,22.311925208478264,-3.6783475176532,0.0002347499671256,0.0233510935388481,False,False,False
COL2A1,collagen type II alpha 1 chain,-2.181457754460775,7950.953233508124,-3.677754328553213,0.0002352964199872,0.0233510935388481,False,False,False
SKI,SKI proto-oncogene,-1.5710031350022895,100.50907870789383,-3.672664806192575,0.000240034247645,0.0235442894884834,False,False,False
CKMT1A,"creatine kinase, mitochondrial 1A",-3.4091574792140293,23.645310091502417,-3.6736444838920495,0.0002391153676403,0.0235442894884834,False,False,False
BMAL1,basic helix-loop-helix ARNT like 1,2.1897919329271542,51.78668488858795,3.666849387106988,0.0002455573281821,0.0238091820905764,False,False,False
TSPAN1,tetraspanin 1,2.8950761337123083,44.98107144321212,3.655547519423888,0.0002566336635089,0.0243239693093256,False,False,False
OVOL2,ovo like zinc finger 2,-7.000612134182594,15.077050743253434,-3.6454147690822754,0.0002669608837403,0.024477701465124,False,False,False
UXT-AS1,UXT antisense RNA 1,-3.479306209066772,19.762127571666696,-3.6216358654866254,0.0002927459902677,0.0259192047386819,False,False,False
TAP1,"transporter 1, ATP binding cassette subfamily B member",4.85989435444912,15.72190179107776,3.622130131881111,0.000292187062385,0.0259192047386819,False,False,False
TSPYL2,TSPY like 2,1.1135254866469575,305.7973996335397,3.616481711097789,0.0002986344068343,0.0261049796772099,False,False,False
ASNS,asparagine synthetase (glutamine-hydrolyzing),1.026356528643545,3597.0132805593767,3.614466233968029,0.0003009670357063,0.0261732724711463,False,False,False
,,-3.0863344827886605,27.9126754935168,-3.590713296862885,0.0003297742307217,0.0274002537245974,False,False,False
INHBE,inhibin subunit beta E,1.725618571246092,85.55314371232346,3.5907942975595857,0.0003296717509665,0.0274002537245974,False,False,False
GGT5,gamma-glutamyltransferase 5,-4.244273212337082,18.003381820902156,-3.579646803993964,0.0003440589201865,0.0276410382974627,False,False,False
ZNF563,zinc finger protein 563,1.023643157219304,1130.9831909153272,3.577867122902389,0.0003464094693068,0.027697981785192,False,False,False
HDAC9,histone deacetylase 9,2.1080215614938247,68.79655186845807,3.5680207168093863,0.0003596880711241,0.0282246392927241,False,False,False
RASD1,ras related dexamethasone induced 1,1.3063881646693891,163.36786803121484,3.562265597399715,0.0003676681397612,0.0285849271240223,False,False,False
GLYATL1-AS1,GLYATL1 antisense RNA 1,-4.328891224630039,13.917263258235918,-3.5567130752974774,0.0003755239153663,0.0286672578106154,False,False,False
SESN1,sestrin 1,1.092726644479737,285.82976646507205,3.5492064149420126,0.0003863940644456,0.0289281712805522,False,False,False
TYRP1,tyrosinase related protein 1,5.792609532320001,11.520551388017829,3.5494953912469875,0.0003859702215976,0.0289281712805522,False,False,False
,,-3.126946931347407,26.456406816479277,-3.529397800692521,0.0004165065403641,0.0302882838038079,False,False,False
SNHG9,small nucleolar RNA host gene 9,-1.4080120598129586,169.76891528066204,-3.5236335231953118,0.0004256725608629,0.0308219818640321,False,False,False
GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,1.736898901329479,82.80294878000679,3.518262465875732,0.0004343825018758,0.031318235851054,False,False,False
BRCA1,BRCA1 DNA repair associated,-1.025071988971766,502.53756229243686,-3.514487345538952,0.0004406036638115,0.0314975610684946,False,False,False
MALRD1,MAM and LDL receptor class A domain containing 1,-4.724285613903893,14.516299707697351,-3.502637814410269,0.0004606754007826,0.0321400818850307,False,False,False
TRAF3IP2,TRAF3 interacting protein 2,1.1840893796406855,151.50966428220227,3.5010912103915053,0.0004633572299555,0.0321699581340768,False,False,False
PPL,periplakin,1.048848121234072,265.80699273037885,3.499261354262604,0.0004665490325635,0.0322588062638481,False,False,False
ZNF844,zinc finger protein 844,1.271846481791182,146.99670908913757,3.4955770930620784,0.0004730377811026,0.032441546361716,False,False,False
DHX37,DEAH-box helicase 37,-1.251217190092866,156.57345782194676,-3.4893472738118176,0.0004842016581433,0.0328070930704248,False,False,False
