symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
,,2.7355042974385797,51.75710747336123,3.9660240281404304,7.308149834709861e-05,0.0031197342291435,False,False,False
SLC25A22,solute carrier family 25 member 22,-1.1194973402993944,242.44367209508945,-3.959842650001857,7.499916326748436e-05,0.003182707854767,False,False,False
SEZ6L2,seizure related 6 homolog like 2,1.0040436711743543,389.8233068934762,3.957657640302109,7.568833537694121e-05,0.0031837789261189,False,False,False
PARP14,poly(ADP-ribose) polymerase family member 14,1.027921459054147,536.1076486913055,3.957954555052828,7.559433540443522e-05,0.0031837789261189,False,False,False
CD46,CD46 molecule,-1.0187276596230932,3430.7751658348125,-3.949909755328041,7.818066449009534e-05,0.0032505983796373,False,False,False
BLOC1S3,biogenesis of lysosomal organelles complex 1 subunit 3,1.1100462543302418,1658.7248596857078,3.946955119934618,7.91513867692027e-05,0.0032720455461544,False,False,False
LGALS2,galectin 2,1.0735230741283532,2106.395619883886,3.9439827025747936,8.01394410641442e-05,0.0032939599975679,False,False,False
PCDHB3,protocadherin beta 3,-1.0072497488468704,458.4496579469789,-3.927824084554869,8.571787088446627e-05,0.0034926765628671,False,False,False
DGAT2,diacylglycerol O-acyltransferase 2,-1.021947013241502,929.862626166408,-3.9248528429591687,8.678277235014271e-05,0.0035069015815425,False,False,False
CLDN23,claudin 23,-1.130576837440631,280.1645260196533,-3.919062776999256,8.889396107927043e-05,0.003572146715325,False,False,False
FAM117B,family with sequence similarity 117 member B,-1.06816211881899,516.9426256939466,-3.9156577994748143,9.0158052198749e-05,0.0036128516404768,False,False,False
IFI27L2,interferon alpha inducible protein 27 like 2,1.2386025327505044,168.84185246941223,3.914638906644952,9.05396026508766e-05,0.0036180631214875,False,False,False
RFC3,replication factor C subunit 3,-1.0647291356014843,2643.194240547644,-3.9129247993328944,9.118493741035282e-05,0.0036219216191519,False,False,False
PLEKHA4,pleckstrin homology domain containing A4,1.1257043916426543,203.71139733045072,3.913614707395054,9.09246770608154e-05,0.0036219216191519,False,False,False
,,1.5145261915478976,116.89127161746086,3.912230396214705,9.144760390290756e-05,0.0036219216191519,False,False,False
,,2.4183495543978832,71.53550263167352,3.9113459148371033,9.178320477221526e-05,0.0036219216191519,False,False,False
G0S2,G0/G1 switch 2,1.832919845874117,200.6004058084238,3.897633949901616,9.713709535442365e-05,0.0037870304980182,False,False,False
B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)",-1.0697577879032047,622.5431579916913,-3.8884831448180375,0.0001008726740771,0.0038904940731198,False,False,False
,,-1.1173894096494112,396.5212691043705,-3.884329453635324,0.0001026126903836,0.0039470218284995,False,False,False
PCDHB5,protocadherin beta 5,-1.1486413166087084,572.1504043734002,-3.8738213446116094,0.0001071419696537,0.0040884466192011,False,False,False
MBD6,methyl-CpG binding domain protein 6,1.3737409214141094,130.23400571432754,3.872201892652271,0.0001078565525649,0.0041048263629606,False,False,False
,,-1.15058379794982,203.5217942881076,-3.86801653198492,0.000109724227584,0.0041539282579568,False,False,False
TMEM135,transmembrane protein 135,-1.1121029553887865,499.4846107765868,-3.853954869526057,0.0001162250281269,0.0043538047203569,False,False,False
MARS2,"methionyl-tRNA synthetase 2, mitochondrial",-1.2135751483391553,496.9318595872013,-3.853271245850156,0.0001165501515851,0.0043538047203569,False,False,False
UNC5B,unc-5 netrin receptor B,1.7608461190326845,187.62957354864017,3.837259439165972,0.0001244150119254,0.0045893188757933,False,False,False
SELENOM,selenoprotein M,1.045959358181244,7949.479524924291,3.833993658453122,0.0001260793930522,0.0046200089948462,False,False,False
GOLGA2,golgin A2,1.0128584050062457,1439.800528156227,3.8312826050333335,0.000127476981018,0.0046427439213311,False,False,False
CPN2,carboxypeptidase N subunit 2,-1.1857822008227383,341.7540956684639,-3.828811624542608,0.0001287635152806,0.0046659746368457,False,False,False
