symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
LNX1,Mock,ZIKV,1.60656,1.13581,-0.500251,0.02205,yes,0.02205
DTYMK,Mock,ZIKV,35.7368,25.2668,-0.500165,5e-05,yes,5e-05
STPG2,Mock,ZIKV,0.0270704,0.0191396,-0.500153,1.0,no,1.0
C1orf54,Mock,ZIKV,6.30006,4.45443,-0.500125,0.07895,no,0.07895
CDKN2B,Mock,ZIKV,0.587528,0.415454,-0.499968,1.0,no,1.0
METAP1D,Mock,ZIKV,2.66613,1.88553,-0.499775,0.03175,no,0.03175
UBE2L6,Mock,ZIKV,120.852,85.4746,-0.499678,5e-05,yes,5e-05
LRRN1,Mock,ZIKV,68.5001,48.4519,-0.499554,5e-05,yes,5e-05
APOBEC2,Mock,ZIKV,0.477218,0.337575,-0.499441,1.0,no,1.0
SEH1L,Mock,ZIKV,10.992,7.77735,-0.499101,0.00055,yes,0.00055
BCL2L2,Mock,ZIKV,10.5979,7.49946,-0.498915,0.0539,no,0.0539
POFUT1,Mock,ZIKV,13.8103,9.77312,-0.49885,5e-05,yes,5e-05
MORC2-AS1,Mock,ZIKV,3.96069,2.80298,-0.498789,0.1729,no,0.1729
LOC284009,Mock,ZIKV,0.795428,0.56298,-0.498646,0.4469,no,0.4469
GLIS1,Mock,ZIKV,0.202476,0.143308,-0.498629,1.0,no,1.0
RAB9B,Mock,ZIKV,7.16492,5.0721,-0.498368,5e-05,yes,5e-05
CHRNG,Mock,ZIKV,0.0640346,0.045331,-0.498352,1.0,no,1.0
FCHSD1,Mock,ZIKV,5.52273,3.90997,-0.498222,0.0016,yes,0.0016
AMY2B,Mock,ZIKV,12.5084,8.85702,-0.498006,0.00515,yes,0.00515
BDH1,Mock,ZIKV,1.40229,0.992947,-0.497996,0.0173,yes,0.0173
LINC00634,Mock,ZIKV,2.24091,1.58702,-0.497763,0.0448,no,0.0448
AKR1B1,Mock,ZIKV,51.8104,36.6928,-0.497745,5e-05,yes,5e-05
MED20,Mock,ZIKV,9.60586,6.80333,-0.497674,0.00015,yes,0.00015
SPN,Mock,ZIKV,0.0749967,0.0531221,-0.497514,1.0,no,1.0
THYN1,Mock,ZIKV,59.6286,42.2568,-0.496822,5e-05,yes,5e-05
SERINC4,Mock,ZIKV,7.89891,5.59909,-0.496461,0.4387,no,0.4387
OPRK1,Mock,ZIKV,3.06407,2.172,-0.496426,0.00055,yes,0.00055
PDCD2,Mock,ZIKV,25.6294,18.1695,-0.496279,0.0001,yes,0.0001
SPATA6L,Mock,ZIKV,0.219093,0.155339,-0.496129,1.0,no,1.0
MORN2,Mock,ZIKV,33.1916,23.5355,-0.49598,0.0003,yes,0.0003
PIPSL,Mock,ZIKV,0.359614,0.25501,-0.495897,1.0,no,1.0
GRB14,Mock,ZIKV,2.62548,1.86199,-0.495734,0.01005,yes,0.01005
